code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
AAA,2013J,100824,F,North Western Region,Post Graduate Qualification,50-60%,0-35,2,30,N,Pass
BBB,2013J,100470,M,London Region,Post Graduate Qualification,50-60%,55<=,1,120,N,Fail
AAA,2014J,100591,M,London Region,Lower Than A Level,10-20%,0-35,0,30,N,Pass
AAA,2013J,100020,F,East Anglian Region,Post Graduate Qualification,10-20%,0-35,1,90,N,Fail
BBB,2013J,100846,F,East Anglian Region,A Level or Equivalent,30-40%,35-55,0,120,N,Pass
CCC,2013J,100407,M,South East Region,HE Qualification,,35-55,1,90,N,Fail
AAA,2013J,100760,M,London Region,Lower Than A Level,70-80%,35-55,0,120,N,Pass
CCC,2013J,100030,M,East Anglian Region,HE Qualification,90-100%,0-35,0,90,N,Pass
CCC,2014J,100368,F,Scotland,HE Qualification,40-50%,35-55,1,90,N,Pass
AAA,2013J,100145,F,Scotland,Post Graduate Qualification,60-70%,35-55,2,90,N,Withdrawn
BBB,2013J,100368,F,Scotland,Post Graduate Qualification,40-50%,55<=,1,60,N,Fail
CCC,2013J,100692,M,North Western Region,Post Graduate Qualification,40-50%,0-35,0,30,N,Fail
AAA,2013J,100078,F,East Anglian Region,HE Qualification,30-40%,35-55,2,90,N,Withdrawn
CCC,2014J,100463,F,Scotland,Post Graduate Qualification,0-10%,35-55,1,90,N,Withdrawn
BBB,2013J,100447,M,London Region,HE Qualification,90-100%,35-55,0,120,N,Pass
BBB,2013J,100579,F,London Region,HE Qualification,,35-55,1,30,N,Pass
BBB,2013J,100382,F,South East Region,HE Qualification,0-10%,35-55,2,90,N,Pass
BBB,2013J,100867,F,South East Region,Post Graduate Qualification,40-50%,0-35,0,120,N,Fail
AAA,2013J,100116,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Withdrawn
CCC,2013J,100251,M,London Region,HE Qualification,80-90%,55<=,0,120,N,Fail
BBB,2014J,100169,M,East Anglian Region,A Level or Equivalent,,55<=,1,30,N,Pass
CCC,2014J,100346,M,North Western Region,Post Graduate Qualification,40-50%,55<=,2,30,N,Pass
BBB,2014J,100400,F,East Anglian Region,Lower Than A Level,80-90%,0-35,1,90,N,Pass
BBB,2013J,100537,F,East Anglian Region,HE Qualification,,0-35,1,60,N,Pass
BBB,2014J,100373,M,North Western Region,Lower Than A Level,90-100%,35-55,0,30,N,Withdrawn
CCC,2014J,100226,M,East Anglian Region,Post Graduate Qualification,30-40%,35-55,0,30,Y,Pass
CCC,2013J,100053,M,London Region,Post Graduate Qualification,80-90%,0-35,0,30,N,Fail
CCC,2013J,100002,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,N,Fail
BBB,2014J,100159,M,North Western Region,Post Graduate Qualification,0-10%,0-35,1,90,N,Pass
CCC,2013J,100781,M,North Western Region,A Level or Equivalent,80-90%,0-35,2,30,N,Pass
BBB,2013J,100278,M,London Region,Post Graduate Qualification,90-100%,0-35,2,30,N,Withdrawn
BBB,2014J,100767,F,South East Region,HE Qualification,30-40%,0-35,1,60,N,Pass
CCC,2014J,100679,M,London Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass
AAA,2014J,100522,M,East Anglian Region,Lower Than A Level,40-50%,55<=,1,120,N,Withdrawn
AAA,2014J,100804,M,Scotland,Lower Than A Level,,55<=,1,30,N,Withdrawn
BBB,2014J,100516,M,Scotland,Lower Than A Level,0-10%,0-35,2,30,N,Withdrawn
BBB,2013J,100286,F,Scotland,Post Graduate Qualification,60-70%,0-35,2,120,N,Pass
BBB,2014J,100414,F,Scotland,Post Graduate Qualification,0-10%,0-35,1,60,N,Fail
BBB,2014J,100753,F,London Region,A Level or Equivalent,70-80%,35-55,0,30,N,Distinction
BBB,2014J,100629,F,East Anglian Region,Lower Than A Level,90-100%,0-35,1,120,N,Withdrawn
BBB,2014J,100630,F,North Western Region,Lower Than A Level,70-80%,35-55,1,90,N,Pass
BBB,2013J,100223,M,Scotland,Post Graduate Qualification,60-70%,35-55,1,60,N,Withdrawn
CCC,2013J,100427,M,London Region,Lower Than A Level,,0-35,0,30,N,Pass
BBB,2013J,100621,M,South East Region,A Level or Equivalent,90-100%,0-35,1,120,Y,Withdrawn
BBB,2013J,100191,F,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass
CCC,2014J,100337,M,Scotland,HE Qualification,60-70%,0-35,2,30,N,Pass
CCC,2014J,100688,M,London Region,A Level or Equivalent,90-100%,35-55,0,90,N,Fail
AAA,2013J,100374,M,North Western Region,Post Graduate Qualification,30-40%,0-35,2,30,N,Pass
CCC,2013J,100746,M,London Region,HE Qualification,70-80%,35-55,0,60,N,Distinction
AAA,2014J,100466,F,London Region,Post Graduate Qualification,0-10%,0-35,1,90,N,Fail
AAA,2014J,100435,F,London Region,A Level or Equivalent,90-100%,55<=,0,30,N,Withdrawn
CCC,2014J,100516,M,Scotland,HE Qualification,60-70%,55<=,1,90,N,Pass
AAA,2013J,100328,M,Scotland,A Level or Equivalent,80-90%,0-35,0,30,N,Withdrawn
CCC,2013J,100045,F,South East Region,HE Qualification,90-100%,35-55,2,90,N,Pass
CCC,2014J,100340,F,North Western Region,HE Qualification,20-30%,0-35,0,60,N,Fail
CCC,2013J,100885,M,East Anglian Region,A Level or Equivalent,40-50%,35-55,2,30,N,Pass
CCC,2013J,100469,F,South East Region,Post Graduate Qualification,90-100%,35-55,1,120,N,Pass
CCC,2013J,100140,M,North Western Region,Post Graduate Qualification,10-20%,35-55,1,60,N,Fail
AAA,2013J,100492,M,East Anglian Region,Post Graduate Qualification,90-100%,35-55,0,120,N,Pass
CCC,2013J,100750,M,North Western Region,Lower Than A Level,30-40%,0-35,0,120,N,Fail
AAA,2013J,100470,M,South East Region,Lower Than A Level,50-60%,35-55,0,90,N,Pass
AAA,2014J,100437,M,London Region,Lower Than A Level,70-80%,0-35,1,60,N,Pass
BBB,2014J,100263,M,London Region,Post Graduate Qualification,90-100%,0-35,2,90,N,Withdrawn
CCC,2013J,100873,M,Scotland,Lower Than A Level,30-40%,35-55,0,90,N,Fail
AAA,2013J,100535,F,Scotland,Post Graduate Qualification,10-20%,35-55,1,60,N,Distinction
BBB,2014J,100224,M,South East Region,A Level or Equivalent,60-70%,55<=,1,60,N,Pass
BBB,2013J,100151,F,South East Region,Lower Than A Level,80-90%,35-55,0,120,N,Distinction
CCC,2013J,100373,F,North Western Region,HE Qualification,80-90%,0-35,1,120,N,Withdrawn
BBB,2014J,100038,M,North Western Region,HE Qualification,30-40%,0-35,0,30,N,Pass
BBB,2013J,100800,F,London Region,A Level or Equivalent,,35-55,0,90,N,Pass
CCC,2013J,100006,F,Scotland,Post Graduate Qualification,0-10%,35-55,0,120,N,Fail
BBB,2013J,100878,F,North Western Region,A Level or Equivalent,10-20%,35-55,0,30,N,Pass
AAA,2014J,100130,F,Scotland,A Level or Equivalent,,35-55,1,120,N,Fail
AAA,2013J,100195,M,South East Region,HE Qualification,10-20%,35-55,0,30,N,Fail
AAA,2013J,100856,M,London Region,Lower Than A Level,60-70%,35-55,0,90,Y,Fail
AAA,2014J,100577,M,Scotland,A Level or Equivalent,80-90%,0-35,1,120,N,Fail
AAA,2013J,100625,M,South East Region,HE Qualification,80-90%,35-55,1,60,N,Pass
CCC,2013J,100557,F,South East Region,HE Qualification,,0-35,0,30,N,Fail
AAA,2014J,100821,M,Scotland,A Level or Equivalent,0-10%,0-35,1,60,N,Distinction
BBB,2013J,100612,M,London Region,HE Qualification,40-50%,35-55,2,60,N,Pass
CCC,2014J,100184,F,London Region,HE Qualification,50-60%,35-55,2,90,N,Fail
CCC,2013J,100165,F,North Western Region,A Level or Equivalent,70-80%,0-35,1,60,N,Fail
BBB,2013J,100384,F,South East Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
AAA,2013J,100884,M,London Region,HE Qualification,60-70%,0-35,0,120,N,Pass
CCC,2014J,100677,M,North Western Region,Post Graduate Qualification,30-40%,0-35,1,90,N,Fail
AAA,2013J,100427,F,London Region,Post Graduate Qualification,10-20%,0-35,0,120,N,Distinction
CCC,2013J,100173,M,South East Region,HE Qualification,40-50%,0-35,0,90,Y,Distinction
CCC,2014J,100418,M,London Region,Post Graduate Qualification,20-30%,35-55,1,120,N,Withdrawn
AAA,2013J,100887,F,Scotland,Post Graduate Qualification,60-70%,35-55,0,30,Y,Distinction
CCC,2014J,100605,M,London Region,HE Qualification,80-90%,35-55,2,120,N,Pass
AAA,2013J,100553,F,South East Region,Lower Than A Level,60-70%,0-35,0,120,N,Pass
AAA,2014J,100700,M,North Western Region,HE Qualification,60-70%,0-35,0,30,N,Fail
CCC,2013J,100636,F,East Anglian Region,HE Qualification,0-10%,0-35,0,60,N,Withdrawn
CCC,2014J,100666,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
AAA,2013J,100147,F,London Region,Post Graduate Qualification,40-50%,0-35,2,60,N,Pass
CCC,2014J,100533,M,South East Region,Post Graduate Qualification,10-20%,0-35,1,120,N,Fail
CCC,2014J,100113,F,London Region,A Level or Equivalent,20-30%,35-55,2,90,N,Withdrawn
CCC,2013J,100685,F,London Region,A Level or Equivalent,80-90%,35-55,2,30,N,Pass
AAA,2013J,100725,F,North Western Region,Lower Than A Level,,0-35,0,90,N,Pass
AAA,2013J,100713,M,London Region,Lower Than A Level,50-60%,0-35,0,120,N,Pass
CCC,2014J,100710,M,South East Region,A Level or Equivalent,,35-55,2,60,Y,Pass
CCC,2014J,100855,M,North Western Region,A Level or Equivalent,10-20%,0-35,0,120,N,Withdrawn
BBB,2013J,100336,F,North Western Region,Lower Than A Level,,35-55,1,120,N,Pass
AAA,2014J,100696,F,North Western Region,A Level or Equivalent,10-20%,0-35,1,120,N,Pass
CCC,2013J,100577,F,East Anglian Region,HE Qualification,70-80%,0-35,2,30,Y,Withdrawn
AAA,2014J,100640,F,London Region,A Level or Equivalent,20-30%,0-35,2,120,N,Distinction
BBB,2013J,100354,F,East Anglian Region,HE Qualification,30-40%,0-35,1,30,N,Pass
CCC,2014J,100785,M,London Region,A Level or Equivalent,50-60%,0-35,1,120,Y,Distinction
BBB,2014J,100233,M,East Anglian Region,HE Qualification,30-40%,0-35,0,120,N,Pass
AAA,2014J,100635,F,London Region,HE Qualification,90-100%,35-55,0,60,N,Fail
AAA,2013J,100541,M,Scotland,Post Graduate Qualification,,0-35,1,30,N,Distinction
BBB,2013J,100003,M,East Anglian Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass
BBB,2013J,100786,F,London Region,A Level or Equivalent,0-10%,0-35,0,90,N,Fail
CCC,2013J,100114,M,East Anglian Region,Lower Than A Level,20-30%,0-35,1,30,N,Fail
AAA,2014J,100676,M,South East Region,HE Qualification,0-10%,35-55,2,30,Y,Pass
CCC,2014J,100648,M,North Western Region,Lower Than A Level,90-100%,55<=,1,60,Y,Pass
CCC,2014J,100893,F,North Western Region,Lower Than A Level,20-30%,35-55,1,120,N,Withdrawn
CCC,2013J,100433,F,North Western Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass
BBB,2013J,100411,F,North Western Region,HE Qualification,70-80%,0-35,0,30,N,Fail
BBB,2014J,100345,M,Scotland,Lower Than A Level,60-70%,35-55,0,60,N,Pass
CCC,2013J,100184,F,East Anglian Region,Lower Than A Level,0-10%,35-55,1,60,N,Fail
CCC,2013J,100479,M,London Region,Lower Than A Level,60-70%,0-35,2,60,N,Distinction
AAA,2014J,100606,F,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
CCC,2014J,100663,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,1,90,N,Pass
AAA,2013J,100696,M,Scotland,Lower Than A Level,,0-35,1,60,Y,Pass
BBB,2013J,100025,M,London Region,A Level or Equivalent,20-30%,35-55,1,120,N,Fail
BBB,2013J,100795,M,London Region,A Level or Equivalent,30-40%,35-55,1,90,N,Withdrawn
BBB,2014J,100033,F,London Region,HE Qualification,30-40%,35-55,0,90,N,Pass
CCC,2013J,100039,F,Scotland,Post Graduate Qualification,90-100%,0-35,0,90,N,Withdrawn
CCC,2014J,100377,M,East Anglian Region,HE Qualification,0-10%,35-55,0,120,N,Pass
AAA,2013J,100444,M,East Anglian Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass
AAA,2013J,100326,M,East Anglian Region,Lower Than A Level,80-90%,0-35,0,120,N,Distinction
AAA,2013J,100285,M,North Western Region,Lower Than A Level,50-60%,0-35,0,30,N,Withdrawn
CCC,2014J,100654,M,North Western Region,Post Graduate Qualification,60-70%,35-55,2,30,N,Withdrawn
BBB,2013J,100349,M,London Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
CCC,2013J,100089,F,London Region,A Level or Equivalent,30-40%,0-35,1,30,N,Distinction
CCC,2013J,100383,F,South East Region,Lower Than A Level,0-10%,0-35,1,90,N,Withdrawn
AAA,2013J,100191,M,Scotland,Post Graduate Qualification,70-80%,0-35,1,90,N,Pass
AAA,2014J,100881,F,London Region,HE Qualification,10-20%,35-55,2,30,N,Distinction
BBB,2013J,100766,M,London Region,Post Graduate Qualification,0-10%,0-35,0,90,N,Fail
BBB,2013J,100476,F,Scotland,A Level or Equivalent,,35-55,0,90,N,Pass
CCC,2013J,100805,M,London Region,Lower Than A Level,50-60%,0-35,1,90,N,Pass
AAA,2014J,100750,F,London Region,HE Qualification,70-80%,0-35,2,90,N,Withdrawn
BBB,2013J,100493,M,London Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn
AAA,2013J,100312,F,North Western Region,HE Qualification,10-20%,35-55,0,30,N,Fail
AAA,2013J,100573,M,London Region,A Level or Equivalent,0-10%,55<=,0,90,N,Pass
AAA,2013J,100686,F,East Anglian Region,Post Graduate Qualification,30-40%,0-35,0,60,Y,Fail
BBB,2013J,100367,M,South East Region,Post Graduate Qualification,30-40%,0-35,1,120,N,Withdrawn
BBB,2013J,100603,F,East Anglian Region,Lower Than A Level,50-60%,35-55,2,90,N,Distinction
BBB,2013J,100554,M,East Anglian Region,Lower Than A Level,60-70%,0-35,1,30,N,Pass
CCC,2013J,100732,F,North Western Region,Post Graduate Qualification,30-40%,55<=,0,120,N,Fail
CCC,2014J,100248,F,London Region,HE Qualification,50-60%,35-55,0,30,N,Withdrawn
BBB,2014J,100329,F,Scotland,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
BBB,2014J,100063,M,Scotland,Lower Than A Level,30-40%,35-55,1,60,N,Withdrawn
CCC,2013J,100276,M,North Western Region,A Level or Equivalent,,0-35,1,90,N,Distinction
CCC,2014J,100734,M,London Region,HE Qualification,,35-55,0,60,N,Distinction
AAA,2013J,100474,F,North Western Region,Post Graduate Qualification,50-60%,0-35,0,90,Y,Pass
CCC,2014J,100767,F,Scotland,Post Graduate Qualification,,35-55,2,90,N,Pass
AAA,2014J,100781,M,London Region,A Level or Equivalent,50-60%,0-35,2,30,N,Pass
BBB,2014J,100213,F,South East Region,A Level or Equivalent,10-20%,0-35,1,30,Y,Pass
BBB,2014J,100505,M,Scotland,Lower Than A Level,90-100%,35-55,1,60,N,Fail
BBB,2013J,100884,F,Scotland,Lower Than A Level,40-50%,0-35,2,30,N,Pass
AAA,2013J,100484,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass
CCC,2014J,100730,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass
AAA,2013J,100711,M,East Anglian Region,Lower Than A Level,30-40%,0-35,1,60,N,Pass
AAA,2014J,100576,M,Scotland,A Level or Equivalent,80-90%,35-55,0,90,N,Fail
CCC,2014J,100759,M,North Western Region,HE Qualification,50-60%,35-55,1,120,N,Pass
CCC,2014J,100616,M,East Anglian Region,Post Graduate Qualification,40-50%,35-55,1,90,N,Fail
AAA,2013J,100878,M,South East Region,Post Graduate Qualification,30-40%,0-35,0,90,Y,Distinction
CCC,2014J,100048,M,London Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass
CCC,2013J,100517,F,Scotland,A Level or Equivalent,20-30%,55<=,0,120,N,Fail
AAA,2013J,100356,M,London Region,Post Graduate Qualification,10-20%,0-35,1,30,N,Distinction
BBB,2014J,100380,F,London Region,A Level or Equivalent,30-40%,0-35,1,60,N,Pass
AAA,2014J,100528,F,South East Region,HE Qualification,70-80%,0-35,1,120,N,Distinction
AAA,2014J,100230,M,South East Region,Lower Than A Level,70-80%,35-55,2,120,N,Pass
AAA,2014J,100337,F,Scotland,A Level or Equivalent,90-100%,35-55,0,90,N,Withdrawn
AAA,2013J,100095,F,North Western Region,A Level or Equivalent,60-70%,35-55,0,90,N,Pass
BBB,2013J,100891,F,Scotland,Post Graduate Qualification,70-80%,35-55,1,30,N,Pass
BBB,2014J,100466,M,South East Region,Lower Than A Level,90-100%,0-35,2,90,N,Fail
AAA,2013J,100336,M,Scotland,Post Graduate Qualification,,0-35,1,30,N,Distinction
AAA,2013J,100568,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,Fail
AAA,2014J,100378,F,North Western Region,Lower Than A Level,80-90%,35-55,0,30,N,Fail
CCC,2014J,100119,F,North Western Region,HE Qualification,10-20%,0-35,0,30,N,Fail
CCC,2014J,100727,F,London Region,Lower Than A Level,0-10%,0-35,1,120,N,Pass
BBB,2013J,100141,M,Scotland,Lower Than A Level,20-30%,35-55,0,90,N,Pass
CCC,2013J,100503,M,North Western Region,Lower Than A Level,20-30%,35-55,0,90,Y,Fail
BBB,2013J,100672,F,London Region,A Level or Equivalent,60-70%,35-55,1,30,N,Distinction
AAA,2014J,100742,F,South East Region,Lower Than A Level,0-10%,0-35,2,90,Y,Pass
BBB,2013J,100465,M,South East Region,HE Qualification,0-10%,55<=,0,90,N,Distinction
AAA,2013J,100398,M,North Western Region,Lower Than A Level,50-60%,0-35,2,90,N,Fail
AAA,2014J,100122,F,North Western Region,Post Graduate Qualification,,0-35,1,60,N,Pass
AAA,2014J,100076,M,South East Region,Post Graduate Qualification,50-60%,0-35,2,60,N,Pass
AAA,2014J,100071,M,East Anglian Region,HE Qualification,40-50%,0-35,0,120,N,Fail
AAA,2014J,100344,M,North Western Region,Post Graduate Qualification,60-70%,0-35,1,120,Y,Pass
CCC,2014J,100215,M,East Anglian Region,Lower Than A Level,40-50%,0-35,1,120,N,Withdrawn
BBB,2014J,100816,M,North Western Region,Post Graduate Qualification,0-10%,35-55,0,90,N,Fail
CCC,2013J,100187,F,Scotland,A Level or Equivalent,20-30%,35-55,1,30,N,Pass
AAA,2013J,100042,M,London Region,HE Qualification,70-80%,35-55,2,30,N,Fail
BBB,2014J,100538,M,London Region,Post Graduate Qualification,30-40%,0-35,1,90,N,Fail
CCC,2013J,100831,M,South East Region,Post Graduate Qualification,0-10%,35-55,0,60,N,Pass
BBB,2014J,100274,F,South East Region,A Level or Equivalent,10-20%,0-35,1,30,N,Pass
BBB,2013J,100461,M,South East Region,A Level or Equivalent,90-100%,0-35,2,120,N,Pass
AAA,2014J,100240,F,North Western Region,Lower Than A Level,30-40%,0-35,1,120,N,Withdrawn
AAA,2013J,100327,M,East Anglian Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass
AAA,2014J,100689,M,South East Region,A Level or Equivalent,80-90%,0-35,0,90,N,Withdrawn
AAA,2013J,100425,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,1,60,N,Fail
CCC,2013J,100445,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn
BBB,2013J,100459,F,East Anglian Region,Post Graduate Qualification,90-100%,0-35,0,90,Y,Fail
BBB,2014J,100840,M,South East Region,Post Graduate Qualification,30-40%,0-35,0,60,N,Fail
CCC,2013J,100756,M,London Region,HE Qualification,60-70%,0-35,0,120,N,Withdrawn
AAA,2014J,100150,F,Scotland,Lower Than A Level,80-90%,0-35,0,30,N,Fail
AAA,2013J,100350,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,90,N,Pass
BBB,2013J,100648,M,London Region,HE Qualification,20-30%,0-35,0,120,N,Withdrawn
CCC,2014J,100299,F,North Western Region,Lower Than A Level,70-80%,0-35,0,120,N,Pass
BBB,2013J,100290,F,South East Region,A Level or Equivalent,80-90%,35-55,1,30,N,Pass
AAA,2014J,100596,F,North Western Region,Post Graduate Qualification,10-20%,0-35,2,90,N,Pass
CCC,2014J,100756,F,South East Region,Post Graduate Qualification,70-80%,0-35,0,120,N,Distinction
AAA,2014J,100810,M,South East Region,A Level or Equivalent,10-20%,0-35,0,120,N,Pass
AAA,2013J,100414,F,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Fail
BBB,2014J,100713,F,South East Region,A Level or Equivalent,10-20%,35-55,0,30,N,Pass
AAA,2013J,100507,M,London Region,HE Qualification,,0-35,1,90,N,Withdrawn
CCC,2014J,100320,M,South East Region,A Level or Equivalent,70-80%,35-55,0,90,N,Withdrawn
CCC,2014J,100073,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,N,Pass
AAA,2013J,100891,M,South East Region,A Level or Equivalent,30-40%,35-55,1,30,N,Pass
BBB,2013J,100408,M,East Anglian Region,HE Qualification,80-90%,0-35,0,60,N,Fail
BBB,2013J,100712,M,South East Region,Post Graduate Qualification,20-30%,0-35,0,120,N,Pass
CCC,2014J,100280,M,East Anglian Region,Post Graduate Qualification,50-60%,55<=,1,30,Y,Pass
BBB,2013J,100176,F,North Western Region,A Level or Equivalent,,55<=,2,60,N,Distinction
AAA,2013J,100744,F,Scotland,Post Graduate Qualification,20-30%,0-35,0,30,N,Withdrawn
AAA,2014J,100092,M,East Anglian Region,Post Graduate Qualification,70-80%,35-55,0,30,N,Withdrawn
CCC,2013J,100452,M,South East Region,A Level or Equivalent,10-20%,0-35,1,120,N,Pass
AAA,2014J,100859,M,South East Region,Post Graduate Qualification,90-100%,0-35,2,120,N,Fail
AAA,2014J,100077,F,East Anglian Region,Post Graduate Qualification,30-40%,0-35,2,90,Y,Pass
CCC,2013J,100799,F,North Western Region,A Level or Equivalent,50-60%,0-35,1,90,Y,Pass
CCC,2013J,100669,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,120,N,Withdrawn
BBB,2014J,100759,M,North Western Region,Lower Than A Level,10-20%,0-35,0,60,N,Pass
AAA,2014J,100099,M,South East Region,Post Graduate Qualification,70-80%,35-55,1,120,N,Withdrawn
CCC,2013J,100201,M,North Western Region,A Level or Equivalent,0-10%,0-35,1,60,N,Fail
AAA,2014J,100002,F,Scotland,Post Graduate Qualification,,0-35,0,90,N,Pass
BBB,2014J,100690,M,East Anglian Region,Lower Than A Level,0-10%,0-35,0,60,N,Pass
CCC,2013J,100633,M,North Western Region,HE Qualification,30-40%,55<=,1,90,N,Pass
CCC,2014J,100182,F,East Anglian Region,A Level or Equivalent,,0-35,0,60,N,Withdrawn
AAA,2013J,100562,F,London Region,A Level or Equivalent,10-20%,0-35,1,120,N,Distinction
CCC,2014J,100590,M,London Region,Lower Than A Level,0-10%,35-55,0,90,N,Pass
AAA,2014J,100698,F,North Western Region,Lower Than A Level,80-90%,55<=,0,60,Y,Pass
CCC,2014J,100527,F,Scotland,A Level or Equivalent,0-10%,55<=,1,120,N,Distinction
BBB,2013J,100477,F,North Western Region,A Level or Equivalent,90-100%,35-55,0,90,N,Pass
BBB,2014J,100309,M,Scotland,A Level or Equivalent,90-100%,35-55,0,30,N,Pass
AAA,2014J,100539,F,Scotland,Lower Than A Level,20-30%,35-55,1,120,N,Pass
AAA,2013J,100756,F,London Region,HE Qualification,,35-55,0,90,N,Withdrawn
BBB,2014J,100279,F,East Anglian Region,Post Graduate Qualification,,0-35,0,90,Y,Fail
BBB,2014J,100154,F,London Region,HE Qualification,40-50%,0-35,0,30,N,Pass
BBB,2013J,100374,F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,30,N,Pass
BBB,2013J,100142,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,30,N,Fail
CCC,2013J,100684,M,East Anglian Region,Post Graduate Qualification,20-30%,35-55,0,90,N,Fail
BBB,2014J,100892,F,North Western Region,A Level or Equivalent,40-50%,35-55,1,120,N,Withdrawn
CCC,2014J,100171,M,Scotland,A Level or Equivalent,60-70%,35-55,0,30,N,Fail
CCC,2013J,100617,F,East Anglian Region,HE Qualification,0-10%,35-55,1,90,N,Pass
CCC,2013J,100394,F,East Anglian Region,Lower Than A Level,30-40%,35-55,1,30,N,Pass
CCC,2014J,100012,F,South East Region,HE Qualification,30-40%,35-55,1,60,Y,Fail
CCC,2013J,100613,F,Scotland,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn
AAA,2014J,100630,M,North Western Region,Lower Than A Level,10-20%,35-55,0,120,N,Withdrawn
CCC,2013J,100767,F,East Anglian Region,A Level or Equivalent,10-20%,0-35,0,60,Y,Withdrawn
AAA,2013J,100397,F,Scotland,Lower Than A Level,30-40%,0-35,1,120,N,Pass
CCC,2014J,100828,F,East Anglian Region,HE Qualification,60-70%,35-55,2,120,N,Pass
BBB,2014J,100786,F,Scotland,A Level or Equivalent,10-20%,55<=,0,60,N,Pass
CCC,2013J,100668,M,London Region,Post Graduate Qualification,40-50%,55<=,1,30,Y,Withdrawn
AAA,2013J,100441,M,East Anglian Region,HE Qualification,10-20%,35-55,0,120,Y,Withdrawn
BBB,2014J,100566,F,South East Region,Post Graduate Qualification,40-50%,0-35,1,30,N,Pass
CCC,2014J,100168,F,Scotland,Lower Than A Level,50-60%,35-55,2,60,N,Pass
BBB,2013J,100114,F,London Region,Post Graduate Qualification,80-90%,35-55,2,60,N,Pass
AAA,2013J,100166,F,North Western Region,HE Qualification,,0-35,2,120,N,Fail
CCC,2013J,100108,F,South East Region,A Level or Equivalent,0-10%,55<=,0,30,N,Pass
CCC,2013J,100707,M,East Anglian Region,A Level or Equivalent,0-10%,0-35,0,30,N,Fail
AAA,2013J,100428,F,South East Region,Lower Than A Level,30-40%,0-35,2,30,N,Fail
CCC,2014J,100796,F,London Region,HE Qualification,20-30%,0-35,1,120,N,Fail
BBB,2013J,100085,M,London Region,Post Graduate Qualification,10-20%,0-35,0,60,N,Pass
BBB,2014J,100714,F,Scotland,A Level or Equivalent,20-30%,0-35,0,90,N,Distinction
BBB,2013J,100363,F,North Western Region,Lower Than A Level,,55<=,1,30,N,Fail
BBB,2013J,100874,F,South East Region,A Level or Equivalent,80-90%,35-55,1,30,N,Distinction
BBB,2013J,100665,M,North Western Region,A Level or Equivalent,0-10%,55<=,2,90,N,Pass
AAA,2013J,100131,M,London Region,Lower Than A Level,20-30%,0-35,0,90,N,Distinction
CCC,2014J,100148,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,Y,Distinction
AAA,2013J,100342,F,Scotland,HE Qualification,30-40%,0-35,1,60,N,Fail
AAA,2014J,100720,F,North Western Region,Lower Than A Level,40-50%,0-35,0,90,N,Pass
BBB,2013J,100597,F,North Western Region,Post Graduate Qualification,80-90%,35-55,0,120,N,Withdrawn
BBB,2013J,100532,M,East Anglian Region,Post Graduate Qualification,70-80%,55<=,1,120,N,Distinction
BBB,2013J,100433,F,London Region,A Level or Equivalent,60-70%,0-35,1,30,Y,Pass
CCC,2013J,100743,F,East Anglian Region,HE Qualification,60-70%,0-35,0,30,Y,Pass
AAA,2014J,100161,M,London Region,Post Graduate Qualification,80-90%,0-35,1,120,N,Pass
AAA,2013J,100657,M,Scotland,HE Qualification,20-30%,0-35,1,120,N,Pass
BBB,2014J,100384,M,South East Region,Lower Than A Level,40-50%,0-35,0,60,N,Pass
CCC,2014J,100680,F,South East Region,Lower Than A Level,10-20%,0-35,0,90,N,Fail
BBB,2014J,100080,F,London Region,A Level or Equivalent,70-80%,0-35,0,90,Y,Pass
