code_module,code_presentation,id_student,date_registration,date_unregistration
CCC,2013J,100156,-61.0,53.0
BBB,2013J,100172,-26.0,
BBB,2014J,100837,-8.0,
BBB,2013J,100625,-66.0,
AAA,2013J,100467,-41.0,
BBB,2014J,100822,-57.0,
AAA,2013J,100607,-35.0,
AAA,2013J,100571,-8.0,
BBB,2013J,100879,-31.0,
AAA,2014J,100174,-1.0,95.0
BBB,2014J,100342,-21.0,
BBB,2013J,100861,-45.0,
BBB,2014J,100562,-27.0,
CCC,2014J,100580,-47.0,
BBB,2014J,100403,-22.0,23.0
CCC,2013J,100105,-20.0,
CCC,2013J,100298,-57.0,
AAA,2013J,100776,-26.0,
AAA,2014J,100803,-32.0,
BBB,2013J,100007,-19.0,155.0
CCC,2014J,100084,-13.0,
AAA,2014J,100729,-20.0,
AAA,2014J,100268,-36.0,
CCC,2013J,100762,-11.0,
CCC,2013J,100239,-47.0,92.0
AAA,2014J,100405,-56.0,87.0
BBB,2013J,100611,-94.0,
BBB,2013J,100040,-31.0,
AAA,2014J,100463,-46.0,
AAA,2014J,100730,-22.0,
BBB,2014J,100534,-69.0,
BBB,2014J,100420,-43.0,
BBB,2013J,100608,-51.0,
CCC,2013J,100474,-41.0,
AAA,2014J,100731,-31.0,23.0
AAA,2013J,100791,-18.0,
AAA,2014J,100141,-11.0,
CCC,2014J,100115,-28.0,
CCC,2014J,100606,-46.0,
BBB,2013J,100145,-39.0,
AAA,2013J,100842,-17.0,
CCC,2014J,100353,-50.0,89.0
BBB,2014J,100222,-34.0,223.0
CCC,2013J,100193,-38.0,
BBB,2013J,100273,-32.0,146.0
CCC,2014J,100603,-50.0,
CCC,2014J,100520,-67.0,
AAA,2013J,100210,-20.0,
CCC,2013J,100476,-11.0,134.0
BBB,2014J,100000,-23.0,
AAA,2014J,100721,-8.0,
AAA,2013J,100694,-38.0,
BBB,2014J,100195,-49.0,
BBB,2014J,100591,-28.0,
CCC,2014J,100369,-25.0,
CCC,2013J,100667,-28.0,
AAA,2013J,100795,-34.0,
CCC,2013J,100858,-52.0,
AAA,2013J,100228,-22.0,
BBB,2014J,100237,-21.0,
BBB,2013J,100670,-26.0,
BBB,2014J,100884,-28.0,
CCC,2014J,100382,4.0,
CCC,2014J,100509,-42.0,110.0
CCC,2013J,100261,-45.0,
AAA,2014J,100249,-8.0,
AAA,2013J,100748,-5.0,214.0
BBB,2013J,100203,-36.0,
BBB,2013J,100486,3.0,
CCC,2013J,100220,-21.0,97.0
CCC,2014J,100157,-48.0,213.0
AAA,2013J,100307,-37.0,23.0
AAA,2013J,100825,-7.0,76.0
CCC,2013J,100357,-12.0,
BBB,2013J,100830,-51.0,72.0
AAA,2014J,100718,-33.0,
CCC,2013J,100660,-26.0,
BBB,2014J,100787,-40.0,
CCC,2013J,100492,10.0,
CCC,2014J,100304,-25.0,
CCC,2013J,100391,-31.0,
CCC,2013J,100234,-37.0,
CCC,2014J,100400,-10.0,
AAA,2014J,100270,-63.0,
AAA,2013J,100154,-39.0,
AAA,2014J,100407,-9.0,
BBB,2014J,100705,1.0,
AAA,2013J,100843,-48.0,141.0
BBB,2014J,100860,-19.0,
BBB,2014J,100639,-35.0,111.0
BBB,2013J,100229,-12.0,
BBB,2013J,100389,-41.0,
BBB,2013J,100761,-69.0,62.0
BBB,2013J,100558,-56.0,
CCC,2014J,100420,-30.0,
CCC,2013J,100410,-67.0,
BBB,2013J,100136,-58.0,
BBB,2013J,100031,-51.0,
AAA,2014J,100842,-25.0,
BBB,2013J,100516,-49.0,
AAA,2013J,100659,-36.0,
CCC,2014J,100832,-39.0,116.0
CCC,2013J,100438,-36.0,
BBB,2013J,100189,-49.0,
AAA,2014J,100129,-7.0,
AAA,2013J,100200,-39.0,81.0
CCC,2014J,100288,-43.0,
BBB,2013J,100298,-13.0,172.0
AAA,2014J,100058,-6.0,
AAA,2013J,100458,-58.0,
CCC,2013J,100323,10.0,
AAA,2013J,100515,-4.0,
AAA,2014J,100655,-40.0,
CCC,2013J,100606,-31.0,
AAA,2013J,100122,-26.0,
CCC,2014J,100407,-48.0,
AAA,2013J,100052,-35.0,
